-0.1476708622212193	-0.11835939966913585	-0.05545583986274413	-0.00455135220426718	-1.5376281255021605e-5
-0.18950468942380008	-0.1268856055954592	-0.05558518133710131	-0.004551352478277255	-1.5376281255200265e-5
-0.2890928686947775	-0.16928674899152454	-0.06052571624278101	-0.004556418109804561	-1.5376281256399735e-5
-0.41108002644537167	-0.23208586859128116	-0.07464924908370547	-0.004669217536039806	-1.5376295807157103e-5
-0.5414474858580908	-0.3029220668427697	-0.09416981500797832	-0.005072188197952152	-1.5377638972137634e-5
-0.6746635852929599	-0.3765365983736723	-0.11586754639756944	-0.005765345937165499	-1.5394740785361335e-5
-0.8088434655029563	-0.451098742946778	-0.13836745942997428	-0.0066442499361216495	-1.5474256630512435e-5
-0.9433637184366478	-0.5259971035554275	-0.16116509845262203	-0.007621676776444802	-1.5684106993560012e-5
-1.0780117358728927	-0.6010220404080521	-0.18407810632047097	-0.008647802012951471	-1.6079198059388443e-5
-1.2127109457281628	-0.6760977950869034	-0.2070383545042657	-0.009697631297573586	-1.6681660239353283e-5
-1.3474320092414849	-0.7511952744159223	-0.23001908424952838	-0.010759127850033898	-1.7483350522498815e-5
-1.4821629683556612	-0.8263026012607881	-0.2530091951237007	-0.011826504430446364	-1.8458151990217716e-5
-1.6168986555125695	-0.9014146369201332	-0.2760038273822368	-0.01289693162456698	-1.957362493240716e-5
-1.75163671382356	-0.9765290355490991	-0.29900074252220343	-0.013968990836225777	-2.079839665797334e-5
-1.8863760142006663	-1.0516446725616182	-0.3219988598999984	-0.015041950156355056	-2.2105603520486075e-5
-2.0211159911420733	-1.1267609843974518	-0.3449976349705722	-0.016115420666687166	-2.3473801608569752e-5
-2.1558563497999184	-1.201877677089425	-0.36799678241531797	-0.01718918963225074	-2.4886597592436455e-5
-2.2905969307538845	-1.2769945916351972	-0.3909961473456302	-0.018263137412947442	-2.6331795110473842e-5
-2.4253376449243964	-1.3521116391618209	-0.41399564292591967	-0.019337194935185924	-2.780047185588746e-5
-2.560078441027796	-1.4272287684916158	-0.4369952190250595	-0.020411321326033863	-2.9286164981992888e-5
